"carol","source","lyrics"
"awaymanger","https://www.41051.com/xmaslyrics/awaymanger.html","Away in a manger, no crib for a bed,
The little Lord Jesus laid down his sweet head.
The stars in the sky looked down where he lay,
The little Lord Jesus asleep in the hay.
The cattle are lowing, the baby awakes,
But little Lord Jesus no crying he makes.
I love Thee, Lord Jesus, look down from the sky
And stay by my cradle 'til morning is nigh.
Be near me, Lord Jesus, I ask Thee to stay
Close by me forever, and love me, I pray.
Bless all the dear children in thy tender care,
And take us to heaven, to live with Thee there."
"chestnuts","https://www.41051.com/xmaslyrics/chestnuts.html","Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos
Everybody knows a turkey and some
Mistletoe help to make the season bright
Tiny tots with their eyes all aglow
Will find it hard to sleep tonight
They know that Santa's on his way
He's loaded lots of toys and goodies
On his sleigh
And every mother's
Child is gonna spy to see if
Reindeer really know how to fly
And so, I'm offering this
Simple phrase to kids from
One to ninety-two
Altho' it's been said many times
Many ways
“Merry Christmas to you”"
"coventry_carol","https://www.41051.com/xmaslyrics/coventry_carol.html","Lully, lullay, thou little tiny child,
Bye bye, lully, lullay.Lully, lullay, thou little tiny child,Bye bye, lully, lullay.
O sisters too, how may we do
For to preserve this day
This poor youngling for whom we sing,
""Bye bye, lully, lullay""?
Herod the king, in his raging,
Charged he hath this day
His men of might in his own sight
All young children to slay.
That woe is me, poor child, for theeAnd ever mourn and may
For thy parting neither say nor sing,
""Bye bye, lully, lullay."""
"deckthehalls","https://www.41051.com/xmaslyrics/deckthehalls.html","Deck the halls with boughs of holly, Fa la la la la la la la!
'Tis the season to be jolly, Fa la la la la la la la!
Don we now our gay apparel, Fa la la la la la la la!
Troll the ancient Yuletide carol, Fa la la la la la la la!
See the blazing yule before us, Fa la la la la la la la!
Strike the harp and join the chorus, Fa la la la la la la la!
Follow me in merry measure, Fa la la la la la la la!
While I tell of Yuletide treasure, Fa la la la la la la la!
Fast away the old year passes, Fa la la la la la la la!
Hail the new, ye lads and lasses, Fa la la la la la la la!
Sing we joyous all together! Fa la la la la la la la!
Heedless of the wind and weather, Fa la la la la la la la!"
"douhear","https://www.41051.com/xmaslyrics/douhear.html","Said the night wind to the little lamb,
do you see what I see
Way up in the sky, little lamb,
do you see what I see
A star, a star, dancing in the night
With a tail as big as a kite
With a tail as big as a kite
Said the little lamb to the shepherd boy,
do you hear what I hear
Ringing through the sky, shepherd boy,
do you hear what I hear
A song, a song, high above the trees
With a voice as big as the sea
With a voice as big as the sea
Said the shepherd boy to the mighty king,
do you know what I know
In your palace warm, mighty king,
do you know what I know
A Child, a Child shivers in the cold
Let us bring Him silver and gold
Let us bring Him silver and gold
Said the king to the people everywhere,
listen to what I say
Pray for peace, people everywhere!
listen to what I say
The Child, the Child, sleeping in the night
He will bring us goodness and light
He will bring us goodness and light"
"feliz","https://www.41051.com/xmaslyrics/feliz.html","Feliz Navidad
Feliz Navidad
Feliz Navidad
Prospero Ano y Felicidad.
Feliz Navidad
Feliz Navidad
Feliz Navidad
Prospero Ano y Felicidad.
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart.
Feliz Navidad
Feliz Navidad
Feliz Navidad
Prospero Ano y Felicidad.
Feliz Navidad
Feliz Navidad
Feliz Navidad
Prospero Ano y Felicidad.
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart.
[repeats]"
"firstnoel","https://www.41051.com/xmaslyrics/firstnoel.html","The First Noel the angel did say
Was to certain poor shepherds
in fields as they lay;
In fields as they lay, keeping their sheep,
On a cold winter's night that was so deep.
Noel, Noel, Noel, Noel,
Born is the King of Israel.
They looked up and saw a star
Shining in the east beyond them far,
And to the earth it gave great light,
And so it continued both day and night.
And by the light of that same star
Three wise men came from country far;
To seek for a king was their intent,
And to follow the star wherever it went.
This star drew nigh to the northwest,
O'er Bethlehem it took it rest,
And there it did both stop and stay
Right over the place where Jesus lay.
Then entered in those wise men three
Full reverently upon their knee,
and offered there in his presence
Their gold, and myrrh, and frankincense.
Then let us all with one accord
Sing praises to our heavenly Lord;
That hath made heaven and earth of naught,
And with his blood mankind hath bought"
"frosty","https://www.41051.com/xmaslyrics/frosty.html","Frosty the Snowman, was a jolly happy soul,With a corn cob pipe and a button nose, and two eyes made of coal.
Frosty the Snowman, is a fairytale, they say.
He was made of snow, but the children know he came to life one day.
There must have been some magic in that old silk hat they found,
For when they placed it on his head, he began to dance around!
Oh, Frosty, the Snowman, was alive as he could be;
and the children say he could laugh and play,
just the same as you and me.
Thumpety thump, thump, thumpety thump, thump,
look at Frosty go.
Thumpety thump, thump, thumpety thump, thump,
over the hills of snow.
Frosty the Snowman, knew the sun was hot that day,
so he said, ""Let's run, and we'll have some fun now, before I melt away.""
Down to the village, with a broomstick in his hand,
Running here and there, all around the square,
sayin', ""Catch me if you can.""
He led them down the streets of town, right to the traffic cop;
and only paused a moment, when he heard him holler, ""Stop!""
For Frosty, the Snowman, had to hurry on his way,
But he waved goodbye, sayin' ""Don't cry, I'll be back again some day."""
"grandma","https://www.41051.com/xmaslyrics/grandma.html","Grandma got run over by a reindeerWalking home from our house Christmas eveYou can say there's no such thing as SantaBut as for me and Grandpa, we believe
She'd been drinkin' too much egg nogAnd we'd begged her not to goBut she'd left her medicationSo she stumbled out the door into the snowWhen they found her Christmas mornin'At the scene of the attackThere were hoof prints on her foreheadAnd incriminatin' Claus marks on her backGrandma got run over by a reindeerWalkin' home from our house Christmas eveYou can say there's no such thing as SantaBut as for me and Grandpa, we believeNow were all so proud of GrandpaHe's been takin' this so wellSee him in there watchin' footballDrinkin' beer and playin' cards with cousin Belle
It's not Christmas without GrandmaAll the family's dressed in blackAnd we just can't help but wonder
Should we open up her gifts or send them back?Grandma got run over by a reindeerWalkin' home from our house Christmas eveYou can say there's no such thing as SantaBut as for me and Grandpa, we believe
Now the goose is on the tableAnd the pudding made of pigAnd a blue and silver candleThat would just have matched the hair in Grandma's wigI've warned all my friends and neighbors
Better watch out for yourselvesThey should never give a licenseTo a man who drives a sleigh and plays with elvesGrandma got run over by a reindeerWalkin' home from our house, Christmas eveYou can say there's no such thing as SantaBut as for me and Grandpa, we believe!"
"grinch","https://www.41051.com/xmaslyrics/grinch.html","You're a mean one, Mr. Grinch
You really are a heel,
You're as cuddly as a cactus, you're as charming as an eel, Mr. Grinch,
You're a bad banana with a greasy black peel!
You're a monster, Mr. Grinch,
Your heart's an empty hole,
Your brain is full of spiders, you have garlic in your soul, Mr. Grinch,
I wouldn't touch you with a thirty-nine-and-a-half foot pole!
You're a foul one, Mr. Grinch,
You have termites in your smile,
You have all the tender sweetness of a seasick crocodile, Mr. Grinch,Given a choice between the two of you'd take the seasick crocodile!
You're a rotter, Mr. Grinch,
You're the king of sinful sots,
Your heart's a dead tomato splotched with moldy purple spots, Mr. Grinch,
You're a three decker sauerkraut and toadstool sandwich with arsenic sauce!
You nauseate me, Mr. Grinch,
With a nauseous super ""naus""!,
You're a crooked dirty jockey and you drive a crooked hoss, Mr. Grinch,
Your soul is an appalling dump heap overflowing with the most disgraceful
assortment of rubbish imaginable mangled up in tangled up knots!
You're a foul one, Mr. Grinch,
You're a nasty wasty skunk,
Your heart is full of unwashed socks, your soul is full of gunk, Mr. Grinch,
The three words that best describe you are as follows, and I quote,
""Stink, stank, stunk""!"
"hark","https://www.41051.com/xmaslyrics/hark.html","Hark! the herald angels sing,
""Glory to the newborn King!""
Peace on earth, and mercy mild,
God and sinners reconciled
Joyful, all ye nations, rise,
Join the triumph of the skies;
With th' angelic host proclaim,
""Christ is born in Bethlehem.""
Hark! the herald angels sing,
""Glory to the newborn King!""
Christ, by highest heav'n adored:
Christ, the everlasting Lord;
Late in time behold him come,
Offspring of the favored one.
Veil'd in flesh, the Godhead see;
Hail, th'incarnate Deity:
Pleased, as man, with men to dwell,
Jesus, our Emmanuel!
Hark! the herald angels sing,
""Glory to the newborn King!""
Hail! the heav'n born Prince of peace!
Hail! the Son of Righteousness!
Light and life to all he brings,
Risen with healing in his wings
Mild he lays his glory by,
Born that man no more may die:
Born to raise the sons of earth,
Born to give them second birth.
Hark! the herald angels sing,
""Glory to the newborn King!"""
"haveurself","https://www.41051.com/xmaslyrics/haveurself.html","Have yourself a merry little Christmas
Let your heart be light
From now on
our troubles will be out of sight
Have yourself a merry little Christmas
Make the Yule-tide gay
From now on your troubles will be miles away
Here were are as in olden days
happy golden days of yore
Faithful friends who are dear to us
to gather near to us once more
Through the years we all will be together
If the Fates allow
Hang a shining star upon the highest bough
And have yourself a merry little Christmas now."
"herecomes","https://www.41051.com/xmaslyrics/herecomes.html","Here comes Santa Claus, here comes Santa Claus,
Right down Santa Claus lane
Vixen and Blitzen and all his reindeer
Pullin' on the reins
Bells are ringin', children singin'
All is merry and bright
Hang your stockings and say your prayers
'Cause Santa Claus comes tonight!
Here comes Santa Claus, here comes Santa Claus,
Right down Santa Claus lane
He's got a bag that's filled with toys
For boys and girls again
Hear those sleigh bells jingle jangle,
Oh what a beautiful sight
So jump in bed and cover your head
'Cause Santa Claus comes tonight!
Here comes Santa Claus, here comes Santa Claus,
Right down Santa Claus lane
He doesn't care if you're rich or poor
He loves you just the same
Santa Claus knows we're all Gods children
That makes everything right
So fill your hearts with Christmas cheer
'Cause Santa Claus comes tonight!
Here comes Santa Claus, here comes Santa Claus,
Right down Santa Claus lane
He'll come around when the chimes ring out
That it's Christmas morn again
Peace on earth will come to allIf we just follow the light
So lets give thanks to the lord above
That Santa Claus comes tonight!"
"hollyjolly","https://www.41051.com/xmaslyrics/hollyjolly.html","Have a holly, jolly Christmas;
It's the best time of the year
I don't know if there'll be snow
but have a cup of cheer
Have a holly, jolly Christmas;
And when you walk down the street
Say Hello to friends you know
and everyone you meet
Oh ho
the mistletoe
hung where you can see;
Somebody waits for you;
Kiss her once for me
Have a holly jolly Christmas
and in case you didn't hear
Oh by golly
have a holly jolly Christmas
this year
{repeats}"
"illbehome","https://www.41051.com/xmaslyrics/illbehome.html","I'll be home for Christmas
You can plan on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the love light gleams
I'll be home for Christmas
If only in my dreams
I'll be home for Christmas
You can plan on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the love light gleams
I'll be home for Christmas
If only in my dreams
If only in my dreams"
"isawmommy","https://www.41051.com/xmaslyrics/isawmommy.html","I saw Mommy kissing Santa Claus
Underneath the mistletoe last night.
She didn't see me creep
down the stairs to have a peep;
She thought that I was tucked
up in my bedroom fast asleep.
Then, I saw Mommy tickle Santa Claus
Underneath his beard so snowy white;
Oh, what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night
Then I saw Mommy tickle Santa Claus
Underneath his beard so snowy white
Oh, what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night
Oh, what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night
( I saw Mommy kissing Santa Claus)"
"it_came_upon_the_midnight_clear","https://www.41051.com/xmaslyrics/it_came_upon_the_midnight_clear.html","It came upon the midnight clear,
That glorious song of old,
From angels bending near the earth
To touch their harps of gold!
Peace on the earth, good will to men,
From heaven's all gracious King!
The world in solemn stillness lay
To hear the angels sing.
Still through the cloven skies they come
With peaceful wings unfurled
And still their heavenly music floats
O'er all the weary world;
Above its sad and lowly plains
They bend on hovering wing.
And ever o'er its Babel sounds
The blessed angels sing.Yet with te woes of sin and strife
The world hath suffered long;
Beneath the angel-strain have rolled
Two thousand years of wrong;
And man, at war with man, hears not
The love song which they bring:
O hush the noise, ye men of strife,
And hear the angels sing.
For lo! the days are hastening on,
By prophet bards foretold,
When, with the ever-circling years,
Shall come the Age of Gold;
When peace shall over all the earth
Its ancient splendors fling,
And all the world give back the song
Which now the angels sing."
"beginning","https://www.41051.com/xmaslyrics/beginning.html","It's beginning to look a lot like Christmas
Ev'rywhere you go;
Take a look in the five-and-ten, glistening once again
With candy canes and silver lanes aglow.
It's beginning to look a lot like Christmas,
Toys in ev'ry store,
But the prettiest sight to see is the holly that will be
On your own front door.
A pair of hopalong boots and a pistol that shoots
Is the wish of Barney and Ben;
Dolls that will talk and will go for a walk
Is the hope of Janice and Jen;
And Mom and Dad can hardly wait for school to start again.
It's beginning to look a lot like Christmas
Ev'rywhere you go;
There's a tree in the Grand Hotel, one in the park as well,
The sturdy kind that doesn't mind the snow.
It's beginning to look a lot like Christmas;
Soon the bells will start,
And the thing that will make them ring is the carol that you sing
Right within your heart."
"jingle","https://www.41051.com/xmaslyrics/jingle.html","Dashing through the snow
On a one horse open sleigh
O'er the fields we go,
Laughing all the way
Bells on bob tail ring,
making spirits bright
What fun it is to laugh and sing
A sleighing song tonight
Oh, jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one horse open sleigh
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one horse open sleigh
A day or two ago,
I thought I'd take a ride,
And soon Miss Fanny Bright
Was seated by my side;
The horse was lean and lank
Misfortune seemed his lot
We got into a drifted bank,
And then we got upsot.
Oh, jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one horse open sleigh
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one horse open sleigh
Jingle Bells, Jingle Bells,
Jingle all the way!
Oh, What fun it is to ride
In a one horse open sleigh.
Jingle Bells, Jingle Bells,
Jingle all the way!
Oh, What fun it is to ride
In a one horse open sleigh.
Now the ground is white
Go it while you're young
Take the girls tonight
And sing this sleighing song
Just get a bob tailed bay
two-forty as his speed
Hitch him to an open sleigh
And crack! you'll take the lead
Jingle Bells, Jingle Bells,
Jingle all the way!
Oh, What fun it is to ride
In a one horse open sleigh.
Jingle Bells, Jingle Bells,
Jingle all the way!
Oh, What fun it is to ride
In a one horse open sleigh."
