"carol","source","lyrics"
"jinglerock","https://www.41051.com/xmaslyrics/jinglerock.html","Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowing and blowing up bushels of fun
Now the jingle hop has begun
Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancing and prancing in Jingle Bell Square
In the frosty air.
What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go gliding in a one-horse sleigh
Giddy-up jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jingling feet
That's the jingle bell,
That's the jingle bell,
That's the jingle bell rock"
"joy","https://www.41051.com/xmaslyrics/joy.html","Joy to The world! the Lord is come
Let earth receive her King
Let ev'ry heart prepare him room
And heaven and nature sing
And heaven and nature sing
And heaven and nature sing
Joy to the world! the Savior reigns
Let men their songs employ
While fields and floods, rocks, hills and plains
Repeat the sounding joy
Repeat the sounding joy
Repeat the sounding joy
No more let sins and sorrows grow,
Nor thorns infest the ground;
He comes to make His blessings flow
Far as the curse is found,
Far as the curse is found,
Far as, far as, the curse is found.
He rules the world with truth and grace
And makes the nations prove
The glories of His righteousness
And wonders of His love
And wonders of His love
And wonder wonders of His love"
"letitsnow","https://www.41051.com/xmaslyrics/letitsnow.html","Oh the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let It Snow! Let It Snow! Let It Snow!
It doesn't show signs of stopping
And I've bought some corn for popping
The lights are turned way down low
Let It Snow! Let It Snow! Let It Snow!
When we finally kiss good night
How I'll hate going out in the storm!
But if you'll really hold me tight
All the way home I'll be warm
The fire is slowly dying
And, my dear, we're still goodbying
But as long as you love me so
Let It Snow! Let It Snow! Let It Snow!"
"drummer","https://www.41051.com/xmaslyrics/drummer.html","Come they told me
Pa rum pum pum pum
A new born King to see
Pa rum pum pum pum
Our finest gifts we bring
Pa rum pum pum pum
To lay before the King
Pa rum pum pum pum,
rum pum pum pum,
rum pum pum pum
So to honor Him
Pa rum pum pum pum
When we come
Little baby
Pa rum pum pum pum
I am a poor boy too
Pa rum pum pum pum
I have no gift to bring
Pa rum pum pum pum
That's fit to give our King
Pa rum pum pum pum,
rum pum pum pum,
rum pum pum pum
Shall I play for you
Pa rum pum pum pum
On my drum
Mary nodded
Pa rum pum pum pum
The ox and lamb kept time
Pa rum pum pum pum
I played my drum for Him
Pa rum pum pum pum
I played my best for Him
Pa rum pum pum pum,
rum pum pum pum,
rum pum pum pum
Then He smiled at me
Pa rum pum pum pum
Me and my drum"
"mostwonder","https://www.41051.com/xmaslyrics/mostwonder.html","It's the most wonderful time of the year
With the kids jingle belling
And everyone telling you ""Be of good cheer""
It's the most wonderful time of the year
It's the hap-happiest season of all
With those holiday greetings and gay happy meetings
When friends come to call
It's the hap- happiest season of all
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories of
Christmases long, long ago
It's the most wonderful time of the year There'll be much mistletoeing
And hearts will be glowing
When love ones are near
It's the most wonderful time of the year There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories of
Christmases long, long ago
It's the most wonderful time of the yearThere'll be much mistletoeing
And hearts will be glowing
When love ones are near
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time of the year"
"oxmastree","https://www.41051.com/xmaslyrics/oxmastree.html","O Christmas tree, O Christmas tree!
How are thy leaves so verdant!
O Christmas tree, O Christmas tree,
How are thy leaves so verdant!
Not only in the summertime,
But even in winter is thy prime.
O Christmas tree, O Christmas tree,
How are thy leaves so verdant!
O Christmas tree, O Christmas tree,
Much pleasure doth thou bring me!
O Christmas tree, O Christmas tree,
Much pleasure doth thou bring me!
For every year the Christmas tree,
Brings to us all both joy and glee.
O Christmas tree, O Christmas tree,
Much pleasure doth thou bring me!
O Christmas tree, O Christmas tree,
Thy candles shine out brightly!
O Christmas tree, O Christmas tree,
Thy candles shine out brightly!
Each bough doth hold its tiny light,
That makes each toy to sparkle bright.
O Christmas tree, O Christmas tree,
Thy candles shine out brightly!"
"o_come_all_ye_faithful","https://www.41051.com/xmaslyrics/o_come_all_ye_faithful.html","O come, all ye faithful,
Joyful and triumphant,
O come ye, O come ye to Bethlehem.
Come and behold Him,
Born the King of Angels!
O come, let us adore Him,
O come, let us adore Him,
O come, let us adore Him,
Christ the Lord.
Sing, alleluia,
All ye choirs of angels;
O sing, all ye blissful ones of heav'n above.
Glory to God
In the highest glory!
O come, let us adore Him,
O come, let us adore Him,
O come, let us adore Him,
Christ the Lord.
Yea, Lord, we greet Thee,
Born this happy morning;
Jesus, to Thee be the glory giv'n;
Word of the Father,
Now in the flesh appearing,
O come, let us adore Him,
O come, let us adore Him,
O come, let us adore Him,
Christ the Lord."
"o_tannenbaum","https://www.41051.com/xmaslyrics/o_tannenbaum.html","O Tannenbaum, o Tannenbaum,
wie treu sind deine Blätter!
Du grünst nicht nur
zur Sommerzeit,
Nein auch im Winter, wenn es schneit.
O Tannenbaum, o Tannenbaum,
wie treu sind deine Blätter!
O Tannenbaum, o Tannenbaum!
Du kannst mir sehr gefallen!
Wie oft hat nicht zur Weihnachtszeit
Ein Baum von dir mich hoch erfreut!
O Tannenbaum, o Tannenbaum!
Du kannst mir sehr gefallen!
O Tannenbaum, o Tannenbaum!
Dein Kleid will mich
was lehren:
Die Hoffnung und Beständigkeit
Gibt Trost und Kraft
zu jeder Zeit.
O Tannenbaum, o Tannenbaum!
Das soll dein Kleid
mich lehren."
"oholynite","https://www.41051.com/xmaslyrics/oholynite.html","O Holy Night!
The stars are brightly shining
It is the night of the dear Savior's birth!
Long lay the world in sin and error pining
Till he appear'd and the soul felt its worth.
A thrill of hope the weary soul rejoices
For yonder breaks a new and glorious morn!
Fall on your knees
Oh hear the angel voices
Oh night divine
Oh night when Christ was born
Oh night divine
Oh night divine
Led by the light of Faith serenely beaming
With glowing hearts by His cradle we stand
So led by light of a star sweetly gleaming
Here come the wise men from Orient land
The King of Kings lay thus in lowly manger
In all our trials born to be our friend
Truly He taught us to love one another
His law is love and His gospel is peace
Chains shall He break for the slave is our brother
And in His name all oppression shall cease
Sweet hymns of joy in grateful chorus raise we,
Let all within us praise His holy name"
"rockinaround","https://www.41051.com/xmaslyrics/rockinaround.html","Rocking around the Christmas Tree
at the Christmas party hop
Mistletoe hung where you can see
Ev'ry couple tries to stop
You will get a sentimental feeling When you hear voices singing
""Let's be jolly; Deck the halls with boughs of holly"" Rocking around the Christmas Tree
Have a happy holiday
Everyone's dancing merrily
In a new old fashioned way
Rocking around the Christmas Tree
Let the Christmas Spirit ring
Later we'll have some pumpkin pie
and we'll do some caroling
You will get a sentimental feeling When you hear voices singing
""Let's be jolly; Deck the halls with boughs of holly"" Rocking around the Christmas Tree
Have a happy holiday
Everyone's dancing merrily
In a new old fashioned way"
"rudolph","https://www.41051.com/xmaslyrics/rudolph.html","You know Dasher, and Dancer, and
Prancer, and Vixen,
Comet, and Cupid, and
Donder and Blitzen
But do you recall
The most famous reindeer of all
Rudolph, the red-nosed reindeer
had a very shiny nose
and if you ever saw it
you would even say it glows.
All of the other reindeer
used to laugh and call him names
They never let poor Rudolph
play in any reindeer games.
Then one foggy Christmas eve
Santa came to say:
""Rudolph with your nose so bright,
won't you guide my sleigh tonight?""
Then all the reindeer loved him
as they shouted out with glee,
Rudolph the red-nosed reindeer,
you'll go down in history!"
"santababy","https://www.41051.com/xmaslyrics/santababy.html","Santa baby, just slip a sable under the tree for me;
Been an awful good girl, Santa baby
and hurry down the chimney tonight
Santa baby, a '54 convertible too, light blue
I'll wait up for you dear, Santa baby
and hurry down the chimney tonight
Think of all the fun I've missed
Think of all the fellas that I haven't kissed
Next year I could be just as good...
if you'd check off my Christmas list
Santa baby, I want a yacht and really that's not a lot
Been an angel all year; Santa baby,
so hurry down the chimney tonight
Santa honey, there's one thing I really do need,
the deed - To a platinum mine, Santa baby
so hurry down the chimney tonight
Santa baby, I'm filling my stocking with the duplex, and checks
Sign your 'X' on the line, Santa cutie,
and hurry down the chimney tonight
Come and trim my Christmas tree
With some decorations bought at Tiffany;
I really do believe in you
Let's see if you believe in me
Santa baby, forgot to mention one little thing, a ring
I don't mean a phone, Santa baby,
so hurry down the chimney tonight
Hurry down the chimney tonight
Hurry tonight"
"santatown","https://www.41051.com/xmaslyrics/santatown.html","You better watch out
You better not cry
Better not pout
I'm telling you why
Santa Claus is coming to town
He's making a list
And checking it twice
Gonna find out Who's naughty and nice
Santa Claus is coming to town
He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake!
O! You better watch out!
You better not cry
Better not pout
I'm telling you why
Santa Claus is coming to town
Santa Claus is coming to town"
"silent_night","https://www.41051.com/xmaslyrics/silent_night.html","Silent night, holy night!
All is calm, all is bright.
Round yon Virgin, Mother and Child.
Holy infant so tender and mild,
Sleep in heavenly peace,
Sleep in heavenly peace
Silent night, holy night!
Shepherds quake at the sight.
Glories stream from heaven afar
Heavenly hosts sing Alleluia,
Christ the Savior is born!
Christ the Savior is born 
Silent night, holy night!
Son of God love's pure light.
Radiant beams from Thy holy face
With dawn of redeeming grace,
Jesus Lord, at Thy birth
Jesus Lord, at Thy birth"
"sleighride","https://www.41051.com/xmaslyrics/sleighride.html","Just hear those sleigh bells jingle-ing
Ring ting tingle-ing too
Come on, it's lovely weather
For a sleigh ride together with you
Outside the snow is fallingAnd friends are calling ""Yoo Hoo""
Come on, it's lovely weather
For a sleigh ride together with you
Giddy-yap giddy-yap giddy-yap
let's go
Let's look at the snow
We're riding in a wonderland of snow
Giddy-yap giddy-yap giddy-yap it's grand
Just holding your hand
We're gliding along with the song
Of a wintry fairy land
Our cheeks are nice and rosy
And comfy cozy are we
We're snuggled up together like two
Birds of a feather would be
Let's take the road before us
And sing a chorus or two
Come on, it's lovely weather
For a sleigh ride together with you
There's a birthday party at the home of Farmer Gray
It'll be the perfect ending of a perfect day
We'll be singing the songs we love to sing without a single stop
At the fireplace while we watch the chestnuts pop
Pop! Pop! Pop!
There's a happy feeling nothing in the world can buy
When they pass around the coffee and the pumpkin pie
It'll nearly be like a picture print by Currier and Ives
These wonderful things are the things
We remember all through our lives"
"silverbells","https://www.41051.com/xmaslyrics/silverbells.html","City sidewalks, busy sidewalks.
Dressed in holiday style
In the air
There's a feeling
of Christmas
Children laughing
People passing
Meeting smile after smile
and on every street corner you'll hear
Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling, hear them sing
Soon it will be Christmas day
Strings of street lights
Even stop lights
Blink a bright red and green
As the shoppers rush
home with their treasures
Hear the snow crunch
See the kids bunch
This is Santa's big scene
And above all this bustle
You'll hear
Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling, hear them sing
Soon it will be Christmas day"
"twelvedays","https://www.41051.com/xmaslyrics/twelvedays.html","On the first day of Christmas
my true love sent to me:
A Partridge in a Pear Tree
On the second day of Christmas
my true love sent to me:
2 Turtle Doves
and a Partridge in a Pear Tree
On the third day of Christmas
my true love sent to me:
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the fourth day of Christmas
my true love sent to me:
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the fifth day of Christmas
my true love sent to me:
5 Golden Rings
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the sixth day of Christmas
my true love sent to me:
6 Geese a Laying
5 Golden Rings
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the seventh day of Christmas
my true love sent to me:
7 Swans a Swimming
6 Geese a Laying
5 Golden Rings
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the eighth day of Christmas
my true love sent to me:
8 Maids a Milking
7 Swans a Swimming
6 Geese a Laying
5 Golden Rings
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the ninth day of Christmas
my true love sent to me:
9 Ladies Dancing
8 Maids a Milking
7 Swans a Swimming
6 Geese a Laying
5 Golden Rings
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the tenth day of Christmas
my true love sent to me:
10 Lords a Leaping
9 Ladies Dancing
8 Maids a Milking
7 Swans a Swimming
6 Geese a Laying
5 Golden Rings
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the eleventh day of Christmas
my true love sent to me:
11 Pipers Piping
10 Lords a Leaping
9 Ladies Dancing
8 Maids a Milking
7 Swans a Swimming
6 Geese a Laying
5 Golden Rings
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree
On the twelfth day of Christmas
my true love sent to me:
12 Drummers Drumming
11 Pipers Piping
10 Lords a Leaping
9 Ladies Dancing
8 Maids a Milking
7 Swans a Swimming
6 Geese a Laying
5 Golden Rings
4 Calling Birds
3 French Hens
2 Turtle Doves
and a Partridge in a Pear Tree"
"wewishu","https://www.41051.com/xmaslyrics/wewishu.html","We wish you a Merry Christmas,
We wish you a Merry Christmas,
We wish you a Merry Christmas,
And a Happy New Year.
Good tidings to you,
And all of your kin,
Good tidings for Christmas,
And a Happy New Year.
We all know that Santa's coming,
We all know that Santa's coming,
We all know that Santa's coming,
And soon will be here.
Good tidings to you,
And all of your kin,
Good tidings for Christmas,
And a Happy New Year.
We wish you a Merry Christmas,
We wish you a Merry Christmas,
We wish you a Merry Christmas,
And a Happy New Year"
"whitexmas","https://www.41051.com/xmaslyrics/whitexmas.html","I'm dreaming of a White Christmas
Just like the ones I used to know
Where the treetops glisten
and children listen
To hear sleigh bells in the snow.
I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white.
I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten
And children listen
To hear sleigh bells in the snow
I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white"
"winterwon","https://www.41051.com/xmaslyrics/winterwon.html","Sleigh bells ring
are you listening
in the lane
snow is glistening
A beautiful sight
we're happy tonight
walking in a winter wonderland
Gone away is the bluebird
here to stay is a new bird
He sings a love song
as we go along
walking in a winter wonderland
In the meadow we can build a snowman
Then pretend that he is Parson Brown
He'll say: Are you married?
we'll say: No man
But you can do the job
when you're in town
Later on
we'll conspire
as we dream by the fire
To face unafraid
the plans that we've made
walking in a winter wonderland
In the meadow we can build a snowman
and pretend that he's a circus clown
We'll have lots of fun with mister snowman
until the the other kids knock him down
When it snows
ain't it thrilling
Though your nose gets a chilling
We'll frolic and play
the Eskimo way
walking in a winter wonderland
Walking in a winter wonderland
walking in a winter wonderland"
